anio,mes,region,prov,BIOGAS,energia_gen
2021,12,1,15,True,0.7
2021,12,1,4,True,1.4
2021,12,5,17,True,0.9
2021,12,1,4,True,0.9
2021,12,1,4,True,0.9
2021,12,5,17,True,4.5
2021,12,0,0,True,1.9
2021,12,1,4,True,0.9
2021,12,7,19,True,0.0
2021,12,1,4,True,0.3
2021,12,0,0,True,1.0
2021,12,1,15,True,0.7
2021,12,1,15,True,1.1
2021,12,1,4,True,0.7
2021,12,0,0,True,0.1
2021,12,0,0,True,0.3
2021,12,5,17,True,1.2
2021,12,1,4,True,0.8
2021,12,1,15,True,0.5
2021,12,1,4,True,1.1
2021,12,2,7,True,0.9
2021,12,4,0,True,3.7
2021,12,0,0,True,0.7
2021,12,0,0,True,0.0
2021,12,1,4,True,0.0
2022,1,4,0,True,3.7
2022,1,4,0,True,6.7
2022,1,1,15,True,0.7
2022,1,1,4,True,1.4
2022,1,5,17,True,0.9
2022,1,1,4,True,0.8
2022,1,1,4,True,0.9
2022,1,5,17,True,4.4
2022,1,0,0,True,1.9
2022,1,1,4,True,0.8
2022,1,7,19,True,0.0
2022,1,1,4,True,0.2
2022,1,0,0,True,0.8
2022,1,1,15,True,0.7
2022,1,1,15,True,1.0
2022,1,1,4,True,0.7
2022,1,0,0,True,0.2
2022,1,0,0,True,0.3
2022,1,5,17,True,1.3
2022,1,1,4,True,0.7
2022,1,1,15,True,0.6
2022,1,1,4,True,1.3
2022,1,2,7,True,1.2
2022,1,4,0,True,3.7
2022,1,0,0,True,0.5
2022,1,0,0,True,0.0
2022,1,1,4,True,0.0
2022,2,2,7,True,1.3
2022,2,0,0,True,0.6
2022,2,5,17,True,4.0
2022,2,1,4,True,1.1
2022,2,1,4,True,0.8
2022,2,1,4,True,0.8
2022,2,1,4,True,0.8
2022,2,7,19,True,0.0
2022,2,0,0,True,1.8
2022,2,0,0,True,0.1
2022,2,1,4,True,0.4
2022,2,1,4,True,0.6
2022,2,1,15,True,0.7
2022,2,0,0,True,0.2
2022,2,0,0,True,1.0
2022,2,0,0,True,0.0
2022,2,1,4,True,1.2
2022,2,4,0,True,3.4
2022,2,4,0,True,3.4
2022,2,4,0,True,6.3
2022,2,5,17,True,0.7
2022,2,1,15,True,1.1
2022,2,1,4,True,0.7
2022,2,5,17,True,1.2
2022,2,1,15,True,0.5
2022,2,1,15,True,0.7
2022,2,4,0,True,0.0
2022,2,0,0,True,0.0
2022,2,0,0,True,0.0
2022,3,2,7,True,1.4
2022,3,0,0,True,0.7
2022,3,5,17,True,4.5
2022,3,1,4,True,1.5
2022,3,1,4,True,0.9
2022,3,1,4,True,0.8
2022,3,1,4,True,0.8
2022,3,7,19,True,0.0
2022,3,0,0,True,2.0
2022,3,0,0,True,0.0
2022,3,1,4,True,0.8
2022,3,1,4,True,0.7
2022,3,1,15,True,0.7
2022,3,0,0,True,0.4
2022,3,0,0,True,1.4
2022,3,0,0,True,0.0
2022,3,1,4,True,1.4
2022,3,4,0,True,3.7
2022,3,4,0,True,3.1
2022,3,4,0,True,7.1
2022,3,5,17,True,0.9
2022,3,1,15,True,1.2
2022,3,1,4,True,0.7
2022,3,5,17,True,1.4
2022,3,1,15,True,0.5
2022,3,1,15,True,0.9
2022,3,1,4,True,0.0
2022,4,2,7,True,1.3
2022,4,0,0,True,0.7
2022,4,5,17,True,4.3
