,anio,central,central_des,maquina,fuente_de,region,prov,mes,energia_gen
137,2011,CADIHI,CADILLAL,CADIHI,HIDRO <=50MW,NOROESTE,TUCUMAN,4,5.3
138,2011,CALEHI,LA CALERA,CALEHI,HIDRO <=50MW,CENTRO,CORDOBA,4,0.8
139,2011,CARRHI,CH CARRIZAL,CARRHI,HIDRO <=50MW,CUYO,MENDOZA,4,6.6
140,2011,CASSHI,CASSAFOUSTH,CASSHI,HIDRO <=50MW,CENTRO,CORDOBA,4,6.0
141,2011,CEJEHI,CRUZ DEL EJE,CEJEHI,HIDRO <=50MW,CENTRO,CORDOBA,4,0.0
142,2011,COROHI,CH LS CORONELES,COROHI,HIDRO <=50MW,CUYO,MENDOZA,4,2.0
143,2011,CVIEHI,CTA. DEL VIENTO,CVIEHI,HIDRO <=50MW,CUYO,SAN JUAN,4,1.3
145,2011,DIADEO,DIADEMA EOLICO,DIADEO,EOLICO,PATAGONIA,CHUBUT,4,0.0
146,2011,ESCAHI,ESCABA,ESCAHI,HIDRO <=50MW,NOROESTE,TUCUMAN,4,12.0
147,2011,ETIGHI,EL TIGRE,ETIGHI,HIDRO <=50MW,CUYO,MENDOZA,4,3.1
148,2011,FSIMHI,FITZ SIMON,FSIMHI,HIDRO <=50MW,CENTRO,CORDOBA,4,6.1
149,2011,ISBA,ING.STA.BARBARA,ISBATV01,BIOMASA,NOROESTE,TUCUMAN,4,0.0
150,2011,LDCU,LUJAN DE CUYO,LDCUCC21,BIODIESEL,CUYO,MENDOZA,4,0.0
151,2011,LDCU,LUJAN DE CUYO,LDCUCC22,BIODIESEL,CUYO,MENDOZA,4,0.0
152,2011,LMADHI,LAS MADERAS,LMADHI,HIDRO <=50MW,NOROESTE,JUJUY,4,7.8
153,2011,LMO2HI,LOS MOLINOS 2,LMO2HI,HIDRO <=50MW,CENTRO,CORDOBA,4,0.0
154,2011,LQUIHI,LOS QUIROGA,LQUIHI,HIDRO <=50MW,NOROESTE,SANTIAGO DEL ESTERO,4,1.3
155,2011,LVINHI,LA VINIA,LVINHI,HIDRO <=50MW,CENTRO,CORDOBA,4,2.8
156,2011,NECOEO,NECOCHEA EOLICO,NECOEO,EOLICO,BUENOS AIRES,BUENOS AIRES,4,0.0
157,2011,NIDE,NIDEA JUNIN,NIDETV,BIOMASA,BUENOS AIRES,BUENOS AIRES,4,0.0
158,2011,NIH4HI,NIHUIL 4,NIH4HI,HIDRO <=50MW,CUYO,MENDOZA,4,8.2
159,2011,NPUE,NUEVO PUERTO,CEPUCC11,BIODIESEL,GRAN BS.AS.,BUENOS AIRES,4,0.0
160,2011,NPUE,NUEVO PUERTO,CEPUCC12,BIODIESEL,GRAN BS.AS.,BUENOS AIRES,4,0.0
161,2011,PMORHI,PIEDRAS MORAS,PMORHI,HIDRO <=50MW,CENTRO,CORDOBA,4,3.8
162,2011,PUPI,A.P. PTO PIRAY,PUPITV01,BIOMASA,NORESTE,MISIONES,4,6.1
163,2011,PVIEHI,PUEBLO VIEJO,PVIEHI,HIDRO <=50MW,NOROESTE,TUCUMAN,4,8.3
164,2011,QULLHI,QUEBRADA ULLUM,QULLHI,HIDRO <=50MW,CUYO,SAN JUAN,4,4.1
165,2011,REOLHI,BENJAMIN REOLIN,REOLHI,HIDRO <=50MW,CENTRO,CORDOBA,4,5.0
166,2011,RHONHI,RIO HONDO,RHONHI,HIDRO <=50MW,NOROESTE,SANTIAGO DEL ESTERO,4,11.9
167,2011,RREYHI,RIO REYES,RREYHI,HIDRO <=50MW,NOROESTE,JUJUY,4,0.7
168,2011,SANDHI,SALTO ANDERSEN,SANDHI,HIDRO <=50MW,COMAHUE,RIO NEGRO,4,0.0
169,2011,SEMIHI,SEMINO,SEMINO,HIDRO <=50MW,LITORAL,SANTA FE,4,0.0
170,2011,SJUAFV,S.JUAN I FOTOVO,SJUAFV,SOLAR,CUYO,SAN JUAN,4,0.2
171,2011,SMARHI,CH SAN MARTIN,SMARHI,HIDRO <=50MW,CUYO,MENDOZA,4,1.4
172,2011,SNIC,SAN NICOLAS,SNICTG01,BIODIESEL,LITORAL,BUENOS AIRES,4,0.0
173,2011,SROQHI,SAN ROQUE,SROQHI,HIDRO <=50MW,CENTRO,CORDOBA,4,3.6
174,2011,TUNAHI,EL TUNAL,TUNAHI,HIDRO <=50MW,NOROESTE,SALTA,4,6.4
175,2011,ULLUHI,ULLUM,ULLUHI,HIDRO <=50MW,CUYO,SAN JUAN,4,9.6
176,2011,AESP,AES PARANA,AESPCC01,BIODIESEL,LITORAL,BUENOS AIRES,5,5.5
177,2011,AESP,AES PARANA,AESPCC02,BIODIESEL,LITORAL,BUENOS AIRES,5,0.0
178,2011,AMEGHI,F. AMEGHINO,AMEGHI,HIDRO <=50MW,PATAGONIA,CHUBUT,5,7.7
179,2011,ARAUEO,ARAUCO EOLICO,ARAUEO,EOLICO,NOROESTE,LA RIOJA,5,0.8
180,2011,CACVHI,C.H.CACHEUTA VI,CACVHI,HIDRO <=50MW,CUYO,MENDOZA,5,0.0
181,2011,CADIHI,CADILLAL,CADIHI,HIDRO <=50MW,NOROESTE,TUCUMAN,5,3.4
182,2011,CALEHI,LA CALERA,CALEHI,HIDRO <=50MW,CENTRO,CORDOBA,5,0.7
183,2011,CARRHI,CH CARRIZAL,CARRHI,HIDRO <=50MW,CUYO,MENDOZA,5,0.3
184,2011,CASSHI,CASSAFOUSTH,CASSHI,HIDRO <=50MW,CENTRO,CORDOBA,5,3.5
185,2011,CEJEHI,CRUZ DEL EJE,CEJEHI,HIDRO <=50MW,CENTRO,CORDOBA,5,0.0
186,2011,COROHI,CH LS CORONELES,COROHI,HIDRO <=50MW,CUYO,MENDOZA,5,1.1
187,2011,CVIEHI,CTA. DEL VIENTO,CVIEHI,HIDRO <=50MW,CUYO,SAN JUAN,5,1.1
189,2011,DIADEO,DIADEMA EOLICO,DIADEO,EOLICO,PATAGONIA,CHUBUT,5,0.0
190,2011,ESCAHI,ESCABA,ESCAHI,HIDRO <=50MW,NOROESTE,TUCUMAN,5,6.6
191,2011,ETIGHI,EL TIGRE,ETIGHI,HIDRO <=50MW,CUYO,MENDOZA,5,1.7
192,2011,FSIMHI,FITZ SIMON,FSIMHI,HIDRO <=50MW,CENTRO,CORDOBA,5,3.5
193,2011,ISBA,ING.STA.BARBARA,ISBATV01,BIOMASA,NOROESTE,TUCUMAN,5,0.0
194,2011,LDCU,LUJAN DE CUYO,LDCUCC21,BIODIESEL,CUYO,MENDOZA,5,0.0
195,2011,LDCU,LUJAN DE CUYO,LDCUCC22,BIODIESEL,CUYO,MENDOZA,5,0.0
196,2011,LMADHI,LAS MADERAS,LMADHI,HIDRO <=50MW,NOROESTE,JUJUY,5,8.8
197,2011,LMO2HI,LOS MOLINOS 2,LMO2HI,HIDRO <=50MW,CENTRO,CORDOBA,5,0.0
198,2011,LQUIHI,LOS QUIROGA,LQUIHI,HIDRO <=50MW,NOROESTE,SANTIAGO DEL ESTERO,5,1.2
199,2011,LVINHI,LA VINIA,LVINHI,HIDRO <=50MW,CENTRO,CORDOBA,5,2.5
200,2011,NECOEO,NECOCHEA EOLICO,NECOEO,EOLICO,BUENOS AIRES,BUENOS AIRES,5,0.0
201,2011,NIDE,NIDEA JUNIN,NIDETV,BIOMASA,BUENOS AIRES,BUENOS AIRES,5,0.0
202,2011,NIH4HI,NIHUIL 4,NIH4HI,HIDRO <=50MW,CUYO,MENDOZA,5,0.0
203,2011,NPUE,NUEVO PUERTO,CEPUCC11,BIODIESEL,GRAN BS.AS.,BUENOS AIRES,5,0.0
204,2011,NPUE,NUEVO PUERTO,CEPUCC12,BIODIESEL,GRAN BS.AS.,BUENOS AIRES,5,0.0
205,2011,PMORHI,PIEDRAS MORAS,PMORHI,HIDRO <=50MW,CENTRO,CORDOBA,5,2.7
206,2011,PUPI,A.P. PTO PIRAY,PUPITV01,BIOMASA,NORESTE,MISIONES,5,7.5
207,2011,PVIEHI,PUEBLO VIEJO,PVIEHI,HIDRO <=50MW,NOROESTE,TUCUMAN,5,5.2
208,2011,QULLHI,QUEBRADA ULLUM,QULLHI,HIDRO <=50MW,CUYO,SAN JUAN,5,1.2
209,2011,REOLHI,BENJAMIN REOLIN,REOLHI,HIDRO <=50MW,CENTRO,CORDOBA,5,2.5
210,2011,RHONHI,RIO HONDO,RHONHI,HIDRO <=50MW,NOROESTE,SANTIAGO DEL ESTERO,5,13.3
211,2011,RREYHI,RIO REYES,RREYHI,HIDRO <=50MW,NOROESTE,JUJUY,5,3.6
212,2011,SANDHI,SALTO ANDERSEN,SANDHI,HIDRO <=50MW,COMAHUE,RIO NEGRO,5,0.0
213,2011,SEMIHI,SEMINO,SEMINO,HIDRO <=50MW,LITORAL,SANTA FE,5,0.0
214,2011,SJUAFV,S.JUAN I FOTOVO,SJUAFV,SOLAR,CUYO,SAN JUAN,5,0.2
215,2011,SMARHI,CH SAN MARTIN,SMARHI,HIDRO <=50MW,CUYO,MENDOZA,5,0.7
216,2011,SNIC,SAN NICOLAS,SNICTG01,BIODIESEL,LITORAL,BUENOS AIRES,5,0.0
217,2011,SROQHI,SAN ROQUE,SROQHI,HIDRO <=50MW,CENTRO,CORDOBA,5,3.2
218,2011,TUNAHI,EL TUNAL,TUNAHI,HIDRO <=50MW,NOROESTE,SALTA,5,7.3
219,2011,ULLUHI,ULLUM,ULLUHI,HIDRO <=50MW,CUYO,SAN JUAN,5,5.6
220,2011,AESP,AES PARANA,AESPCC01,BIODIESEL,LITORAL,BUENOS AIRES,6,6.3
221,2011,AESP,AES PARANA,AESPCC02,BIODIESEL,LITORAL,BUENOS AIRES,6,0.0
