anio,mes,region,prov,BIOMASA,energia_gen
2020,2,6,10,True,1.6
2020,2,1,4,True,2.7
2020,2,7,19,True,0.0
2020,2,6,10,True,6.7
2020,2,7,13,True,0.0
2020,2,1,4,True,1.9
2020,3,7,19,True,0.0
2020,3,1,4,True,0.0
2020,3,7,19,True,0.0
2020,3,0,0,True,0.0
2020,3,6,10,True,1.7
2020,3,1,4,True,6.2
2020,3,7,19,True,0.0
2020,3,6,10,True,6.0
2020,3,7,13,True,0.0
2020,3,1,4,True,1.3
2020,4,7,19,True,0.0
2020,4,1,4,True,0.0
2020,4,7,19,True,0.0
2020,4,0,0,True,0.0
2020,4,6,10,True,1.6
2020,4,1,4,True,6.3
2020,4,7,19,True,0.0
2020,4,6,10,True,7.3
2020,4,7,13,True,0.0
2020,4,1,4,True,1.7
2020,5,7,19,True,0.0
2020,5,1,4,True,0.0
2020,5,7,19,True,0.0
2020,5,0,0,True,0.0
2020,5,6,10,True,1.7
2020,5,1,4,True,6.1
2020,5,7,19,True,1.2
2020,5,6,10,True,6.2
2020,5,7,13,True,1.7
2020,5,1,4,True,2.0
2020,6,7,19,True,0.6
2020,6,1,4,True,0.0
2020,6,7,19,True,1.1
2020,6,0,0,True,0.0
2020,6,6,10,True,1.7
2020,6,1,4,True,2.5
2020,6,7,19,True,3.9
2020,6,6,10,True,7.8
2020,6,7,13,True,19.4
2020,6,1,4,True,2.3
2020,7,1,4,True,0.0
2020,7,7,19,True,2.9
2020,7,7,19,True,1.3
2020,7,0,0,True,0.0
2020,7,6,10,True,1.8
2020,7,1,4,True,6.1
2020,7,7,19,True,3.9
2020,7,6,10,True,7.2
2020,7,7,13,True,17.8
2020,7,1,4,True,2.2
2020,7,6,5,True,1.3
2020,7,6,5,True,0.0
2020,8,6,5,True,3.5
2020,8,7,19,True,2.9
2020,8,1,4,True,0.0
2020,8,7,19,True,0.4
2020,8,0,0,True,0.0
2020,8,6,10,True,1.7
2020,8,1,4,True,5.9
2020,8,7,19,True,3.9
2020,8,6,10,True,8.6
2020,8,7,13,True,20.3
2020,8,1,4,True,2.2
2020,8,6,5,True,0.0
2020,9,6,5,True,10.1
2020,9,7,19,True,1.0
2020,9,1,4,True,0.0
2020,9,7,19,True,1.2
2020,9,0,0,True,0.0
2020,9,6,10,True,1.7
2020,9,1,4,True,5.5
2020,9,7,19,True,3.3
2020,9,6,10,True,7.9
2020,9,7,13,True,18.8
2020,9,1,4,True,2.1
2020,9,6,5,True,0.0
2020,10,6,5,True,11.4
2020,10,7,19,True,0.0
2020,10,1,4,True,0.0
2020,10,7,19,True,1.1
2020,10,0,0,True,0.0
2020,10,6,10,True,1.7
2020,10,1,4,True,5.4
2020,10,7,19,True,3.3
2020,10,6,10,True,8.2
2020,10,7,13,True,17.6
2020,10,1,4,True,0.0
2020,10,6,5,True,0.0
2020,11,6,5,True,1.7
2020,11,6,5,True,14.4
2020,11,7,19,True,0.0
2020,11,1,4,True,0.0
2020,11,7,19,True,1.2
2020,11,0,0,True,0.0
2020,11,6,10,True,1.6
2020,11,6,10,True,0.0
2020,11,1,4,True,5.9
2020,11,7,19,True,0.7
2020,11,6,10,True,8.5
2020,11,7,13,True,17.3
2020,11,1,4,True,0.9
2020,12,6,5,True,9.1
2020,12,6,5,True,15.4
2020,12,1,4,True,0.0
2020,12,7,19,True,0.9
2020,12,6,10,True,1.6
2020,12,6,10,True,0.1
2020,12,1,4,True,4.9
2020,12,6,10,True,7.4
2020,12,7,13,True,13.4
2020,12,1,4,True,2.2
